都道府県,地域名,0_常住地による人口（夜間人口）,001_従業も通学もしていない,002_自市区町村で従業・通学,0021_自宅で従業,0022_自宅外の自市区町村で従業・通学,003_他市区町村で従業・通学,0031_自市内他区で従業・通学,0032_県内他市町村で従業・通学,0033_他県で従業・通学,0034_従業・通学市区町村「不詳・外国」,004_従業地・通学地「不詳」,0R1_（再掲）流出人口,1_従業地・通学地による人口（昼間人口）,101_うち他市区町村に常住,1011_自市内他区に常住,1012_県内他市町村に常住,1013_他県に常住,102_うち従業地・通学地「不詳」又は従業・通学市区町村「不詳・外国」で当地に常住している者,1R1_（再掲）流入人口,
北海道,北海道,5224614,1822368,1993859,249129,1744730,775859,383349,375307,5328,11875,632528,5328,5223042,762412,383349,375307,3756,644403,3756,99.96991
北海道,札幌市,1973395,629043,536830,55875,480955,461519,383349,69487,2181,6502,346003,71668,1974164,455786,383349,71075,1362,352505,72437,100.03897
北海道,札幌市中央区,248680,71371,88248,7778,80470,33015,27443,4821,352,399,56046,32616,396646,180582,158289,21789,504,56445,180582,159.50056
北海道,札幌市北区,289323,88872,83325,8417,74908,67229,52984,13018,226,1001,49897,66228,275317,52222,42437,9459,326,50898,52222,95.15904
北海道,札幌市東区,265379,82151,74401,7513,66888,59211,51021,7102,263,825,49616,58386,251666,44673,37450,7132,91,50441,44673,94.83267
北海道,札幌市白石区,211835,63598,54142,5759,48383,52729,45151,6595,184,799,41366,51930,205691,45786,37692,8022,72,42165,45786,97.09963
北海道,札幌市豊平区,225298,68695,52215,6282,45933,63842,57676,5146,248,772,40546,63070,194625,32397,27681,4618,98,41318,32397,86.38559
北海道,札幌市南区,135777,49904,36800,4397,32403,28891,25882,2300,157,552,20182,28339,121482,14044,12462,1511,71,20734,14044,89.47171
北海道,札幌市西区,217040,70104,55065,5909,49156,56086,48844,6200,257,785,35785,55301,192358,30619,26838,3734,47,36570,30619,88.6279
北海道,札幌市厚別区,125083,45303,28029,2895,25134,34808,25493,8792,145,378,16943,34430,115443,24790,17247,7501,42,17321,24790,92.29312
北海道,札幌市手稲区,142625,51100,36441,3669,32772,35676,26077,8933,170,496,19408,35180,123558,16113,12193,3882,38,19904,16113,86.63138
北海道,札幌市清田区,112355,37945,28164,3256,24908,30032,22778,6580,179,495,16214,29537,97378,14560,11060,3427,73,16709,14560,86.66993
北海道,函館市,251084,92562,116239,10006,106233,10301,0,9233,556,512,31982,9789,257568,16273,0,15937,336,32494,16273,102.5824
北海道,小樽市,111299,48382,43504,3464,40040,9311,0,9023,89,199,10102,9112,114479,12292,0,12208,84,10301,12292,102.85717
北海道,旭川市,329306,127911,163779,11894,151885,10481,0,10029,206,246,27135,10235,331123,12052,0,11956,96,27381,12052,100.55177
北海道,室蘭市,82383,34138,37653,2081,35572,4546,0,4375,82,89,6046,4457,90235,12309,0,12137,172,6135,12309,109.53109
北海道,釧路市,165077,60152,76633,4958,71675,5739,0,5499,132,108,22553,5631,166088,6642,0,6471,171,22661,6642,100.61244
